customer_id,company_name,segment,region,country,join_date,contract_type,payment_method,paperless_billing,tenure_months,monthly_charges,total_charges,support_tickets,satisfaction_score,churn
CUST-0022,Ingrid Solutions,Mid-Market,North America,United States,2024-11-09,Month-to-Month,Credit Card,1,22,917.95,19214.96,2,5,1
CUST-0023,Carlos Ventures,Mid-Market,North America,Canada,2023-12-20,Two-Year,Bank Wire,1,33,856.29,27947.93,2,4,0
CUST-0024,Olga Health,Enterprise,North America,Canada,2023-12-23,Month-to-Month,Bank Wire,1,33,2406.69,75933.86,3,4,1
CUST-0025,Kavita Technologies,Mid-Market,North America,Canada,2024-09-11,Month-to-Month,Automated ACH,1,24,1267.79,29471.02,0,4,0
CUST-0026,Umar Enterprises,Mid-Market,EMEA,Germany,2025-12-03,Month-to-Month,Credit Card,1,9,1245.43,11118.33,1,3,0
CUST-0027,Tara Systems,Mid-Market,EMEA,France,2023-09-11,Month-to-Month,Bank Wire,1,36,1181.73,43161.27,1,2,1
CUST-0028,Olga Capital,Enterprise,LATAM,Brazil,2025-09-03,Two-Year,Automated ACH,1,12,2547.95,29698.36,4,4,1
CUST-0029,Ingrid Logistics,Startup,LATAM,Brazil,2025-10-11,Month-to-Month,Credit Card,1,11,293.97,3169.81,2,4,0
CUST-0030,Vivienne Dynamics,Startup,North America,Canada,2024-01-28,Two-Year,Bank Wire,1,32,229.64,7059.71,2,5,0
CUST-0031,Siddharth Logistics,SMB,North America,United States,2024-01-25,One-Year,Automated ACH,1,32,457.49,14275.33,1,4,0
CUST-0032,Beatrice Enterprises,Enterprise,EMEA,France,2025-12-11,One-Year,Credit Card,1,9,2628.89,24230.76,1,5,0
CUST-0033,Siddharth Media,Enterprise,EMEA,United Kingdom,2024-08-06,Two-Year,Credit Card,0,25,2301.85,58021.06,4,4,0
CUST-0034,Evelyn Media,Mid-Market,North America,Canada,2024-10-02,Two-Year,Bank Wire,1,23,1132.67,26525.72,0,3,0
CUST-0035,William Enterprises,Startup,North America,Canada,2026-03-28,Month-to-Month,Automated ACH,0,5,266.08,1393.75,0,3,1
CUST-0036,Feng Media,SMB,North America,Canada,2025-04-12,One-Year,Automated ACH,1,17,494.52,8210.8,0,3,1
CUST-0037,Xavier Enterprises,Startup,North America,United States,2023-09-26,Month-to-Month,Automated ACH,1,36,332.95,12370.4,4,3,1
CUST-0038,Hassan Ventures,Mid-Market,North America,United States,2026-03-13,Two-Year,Automated ACH,1,6,947.18,5763.49,1,5,0
CUST-0039,Mei Dynamics,Enterprise,North America,United States,2023-09-25,Month-to-Month,Automated ACH,1,36,2360.37,81645.79,3,2,1
CUST-0040,Nathan Capital,Mid-Market,EMEA,France,2023-09-17,Month-to-Month,Automated ACH,1,36,1053.0,36180.86,0,5,0
CUST-0041,Nathan Technologies,Mid-Market,EMEA,Germany,2026-01-18,Two-Year,Automated ACH,1,8,1079.19,8774.58,3,5,0
CUST-0042,Dmitri Health,Mid-Market,EMEA,Netherlands,2026-01-28,Month-to-Month,Bank Wire,1,7,905.66,6618.79,0,4,0
CUST-0043,William Logistics,Mid-Market,EMEA,France,2024-11-26,Month-to-Month,Bank Wire,1,22,1023.71,22761.84,3,4,1
CUST-0044,Kavita Solutions,Mid-Market,North America,United States,2024-11-01,Two-Year,Automated ACH,1,22,1003.69,21164.36,2,4,0
CUST-0045,Rania Systems,SMB,North America,United States,2025-07-17,One-Year,Bank Wire,1,14,421.21,6182.31,4,4,0
CUST-0046,Umar Enterprises,SMB,EMEA,Germany,2025-08-11,One-Year,Bank Wire,1,13,305.2,3771.42,4,3,0
CUST-0047,Zara Enterprises,Enterprise,APAC,Singapore,2025-05-03,One-Year,Bank Wire,1,16,2303.6,38141.48,4,4,0
CUST-0048,Olga Logistics,Startup,APAC,Australia,2025-07-10,One-Year,Credit Card,1,14,336.05,4860.22,2,5,0
CUST-0049,Siddharth Solutions,Mid-Market,APAC,South Korea,2023-12-08,Month-to-Month,Credit Card,1,33,1232.08,40745.24,0,3,0
CUST-0050,Vivienne Ventures,SMB,North America,United States,2024-12-19,Month-to-Month,Bank Wire,1,21,424.96,8601.44,1,5,0
CUST-0051,Hassan Media,Enterprise,EMEA,Germany,2025-09-09,Month-to-Month,Credit Card,1,12,2296.5,28475.38,1,4,1
CUST-0052,Mei Systems,Startup,LATAM,Brazil,2023-11-08,One-Year,Credit Card,0,34,301.95,10059.55,4,3,0
CUST-0053,Mei Media,Mid-Market,EMEA,Germany,2026-05-12,Month-to-Month,Bank Wire,1,4,1410.87,5744.58,1,4,1
CUST-0054,Mei Logistics,Startup,APAC,Singapore,2025-04-08,Month-to-Month,Bank Wire,1,17,264.52,4284.19,4,3,0
CUST-0055,Vivienne Media,Enterprise,North America,Canada,2024-09-19,Month-to-Month,Bank Wire,1,24,2204.99,54302.18,5,5,0
CUST-0056,Mei Health,Mid-Market,APAC,South Korea,2023-10-01,Month-to-Month,Credit Card,1,36,1078.04,40563.32,2,5,0
CUST-0057,Hassan Enterprises,SMB,APAC,Japan,2023-09-26,Month-to-Month,Bank Wire,1,36,303.38,10513.45,5,3,0
CUST-0058,William Enterprises,Mid-Market,EMEA,Germany,2024-05-22,One-Year,Bank Wire,1,28,838.59,24062.66,2,5,1
CUST-0059,Dmitri Logistics,SMB,LATAM,Brazil,2023-09-24,One-Year,Automated ACH,1,36,412.0,15486.79,1,4,0
CUST-0060,Gabriella Enterprises,Enterprise,EMEA,Germany,2025-01-01,Month-to-Month,Credit Card,1,20,1228.9,25306.07,1,3,0
CUST-0061,Tara Technologies,SMB,North America,Canada,2024-12-24,One-Year,Bank Wire,0,21,453.81,9837.19,3,2,0
CUST-0062,Dmitri Media,Startup,LATAM,Chile,2024-04-16,One-Year,Credit Card,1,29,212.74,6456.63,5,3,0
CUST-0063,Ingrid Systems,Mid-Market,APAC,South Korea,2025-03-03,One-Year,Bank Wire,1,18,1292.37,24273.71,0,4,0
CUST-0064,Ingrid Solutions,SMB,North America,Canada,2023-09-12,Month-to-Month,Bank Wire,0,36,535.73,18672.67,3,2,1
CUST-0065,Gabriella Capital,Mid-Market,APAC,Australia,2025-06-05,One-Year,Bank Wire,1,15,1364.22,21380.18,4,4,0
CUST-0066,Carlos Ventures,SMB,EMEA,Netherlands,2026-03-14,One-Year,Credit Card,1,6,540.94,3340.72,1,2,1
CUST-0067,Carlos Health,Mid-Market,North America,United States,2024-07-11,Month-to-Month,Credit Card,1,26,913.9,24941.47,3,3,1
CUST-0068,Siddharth Capital,Mid-Market,North America,Canada,2025-06-16,Month-to-Month,Credit Card,1,15,938.53,14419.88,0,3,1
CUST-0069,Zara Logistics,Mid-Market,North America,Canada,2026-02-01,Two-Year,Credit Card,1,7,1062.08,7137.57,2,4,1
CUST-0070,Gabriella Health,Mid-Market,North America,United States,2023-09-11,One-Year,Bank Wire,0,36,1268.57,45912.2,2,3,0
CUST-0071,Xavier Logistics,Enterprise,EMEA,Netherlands,2023-10-03,One-Year,Credit Card,1,36,2076.95,72410.18,2,5,0
CUST-0072,Beatrice Health,Enterprise,LATAM,Mexico,2025-11-19,Month-to-Month,Bank Wire,1,10,1814.98,17339.61,2,4,1
CUST-0073,Evelyn Systems,Startup,LATAM,Brazil,2025-03-23,One-Year,Credit Card,1,18,247.85,4514.13,1,5,0
CUST-0074,Zara Dynamics,Mid-Market,North America,Canada,2023-10-15,Two-Year,Bank Wire,1,35,1115.32,39464.16,3,3,0
CUST-0075,Yuki Enterprises,SMB,LATAM,Brazil,2023-09-25,One-Year,Bank Wire,1,36,343.92,11855.0,3,3,0
CUST-0076,Alexander Media,Mid-Market,EMEA,Netherlands,2025-06-17,Month-to-Month,Bank Wire,0,15,1109.61,15930.42,2,3,1
CUST-0077,Hassan Health,Mid-Market,APAC,Singapore,2025-07-07,Month-to-Month,Bank Wire,1,14,1249.57,16868.11,4,3,1
CUST-0078,Beatrice Logistics,Mid-Market,APAC,Australia,2024-04-16,One-Year,Credit Card,0,29,777.75,22555.81,1,4,0
CUST-0079,Patrick Solutions,Startup,North America,United States,2025-11-28,Month-to-Month,Bank Wire,1,9,262.05,2467.39,1,3,1
CUST-0080,Tara Systems,SMB,LATAM,Chile,2025-05-07,Month-to-Month,Automated ACH,1,16,531.51,8633.01,3,3,1
CUST-0081,Ingrid Logistics,SMB,LATAM,Mexico,2026-04-05,Two-Year,Credit Card,1,5,366.36,1799.02,2,4,0
CUST-0082,Dmitri Logistics,Mid-Market,North America,Canada,2024-11-14,One-Year,Credit Card,1,22,1196.63,25837.56,2,5,0
CUST-0083,Kavita Enterprises,Startup,LATAM,Mexico,2025-04-25,One-Year,Credit Card,1,17,235.64,3880.73,3,5,0
CUST-0084,Liam Systems,SMB,APAC,South Korea,2025-05-19,Month-to-Month,Bank Wire,1,16,298.47,4957.39,2,3,0
CUST-0085,Patrick Enterprises,SMB,North America,United States,2023-11-23,One-Year,Credit Card,1,34,270.9,9664.0,1,4,0
CUST-0086,Dmitri Solutions,SMB,LATAM,Chile,2024-04-15,Two-Year,Bank Wire,1,29,491.26,14126.14,3,5,0
CUST-0087,Patrick Solutions,Mid-Market,North America,United States,2023-11-13,One-Year,Automated ACH,0,34,930.5,30929.11,4,4,0
CUST-0088,Nathan Capital,Mid-Market,LATAM,Chile,2025-11-21,Month-to-Month,Bank Wire,1,10,1249.88,13122.37,4,3,1
CUST-0089,Patrick Logistics,Mid-Market,North America,Canada,2026-04-03,One-Year,Bank Wire,0,5,1396.22,7239.12,2,5,1
CUST-0090,Xavier Ventures,Startup,EMEA,Germany,2024-10-14,Month-to-Month,Credit Card,1,23,254.92,6045.74,3,5,0
CUST-0091,Mei Logistics,Enterprise,EMEA,United Kingdom,2026-01-02,Month-to-Month,Bank Wire,0,8,2947.18,22633.66,3,4,1
CUST-0092,Olga Technologies,Startup,EMEA,Netherlands,2023-09-29,Month-to-Month,Automated ACH,1,36,242.89,8851.82,1,3,1
CUST-0093,Mei Enterprises,Startup,APAC,South Korea,2023-11-12,One-Year,Automated ACH,0,34,149.0,4830.89,2,2,0
CUST-0094,Carlos Ventures,Startup,EMEA,France,2025-03-03,Month-to-Month,Automated ACH,1,18,249.7,4586.24,3,2,1
CUST-0095,Dmitri Solutions,Startup,North America,Canada,2025-03-25,Month-to-Month,Bank Wire,1,18,200.21,3578.8,3,3,0
CUST-0096,Hassan Dynamics,Enterprise,North America,United States,2024-02-28,One-Year,Bank Wire,1,31,3217.69,99725.12,0,3,0
CUST-0097,Tara Logistics,Mid-Market,North America,Canada,2023-09-12,Month-to-Month,Automated ACH,0,36,573.45,21010.86,2,4,0
CUST-0098,Feng Enterprises,Startup,North America,Canada,2025-03-17,One-Year,Credit Card,1,18,287.5,5353.69,1,2,1
CUST-0099,Gabriella Media,Mid-Market,APAC,Japan,2023-09-15,Month-to-Month,Bank Wire,1,36,1351.77,46337.3,1,4,1
CUST-0100,William Media,Startup,North America,United States,2025-02-01,One-Year,Automated ACH,1,19,234.22,4583.18,4,4,0
CUST-0101,Umar Capital,SMB,North America,United States,2025-08-02,One-Year,Automated ACH,1,13,374.07,4686.28,0,2,0
CUST-0102,Dmitri Technologies,Enterprise,North America,Canada,2023-09-22,One-Year,Bank Wire,1,36,1708.37,63023.36,2,3,0
CUST-0103,Feng Ventures,Mid-Market,North America,Canada,2023-09-25,Two-Year,Bank Wire,0,36,670.36,24089.15,3,4,0
CUST-0104,Julian Capital,Startup,APAC,South Korea,2023-09-29,One-Year,Bank Wire,1,36,233.64,8557.73,2,4,0
CUST-0105,Mei Dynamics,Enterprise,North America,Canada,2024-10-10,Month-to-Month,Bank Wire,1,23,2127.14,47760.61,1,2,1
CUST-0106,Mei Capital,Mid-Market,North America,United States,2024-04-11,Two-Year,Credit Card,0,29,1007.11,28392.41,0,4,0
CUST-0107,Carlos Solutions,SMB,APAC,Australia,2023-09-30,Month-to-Month,Automated ACH,1,36,577.21,20764.23,2,4,1
CUST-0108,Dmitri Ventures,Mid-Market,APAC,Singapore,2026-07-08,One-Year,Credit Card,0,2,1031.09,2045.5,2,4,0
CUST-0109,Yuki Logistics,SMB,APAC,Japan,2023-09-14,Month-to-Month,Automated ACH,1,36,378.41,13446.39,5,3,1
CUST-0110,Olga Solutions,Enterprise,LATAM,Mexico,2024-11-05,Month-to-Month,Automated ACH,1,22,2655.11,55845.49,0,3,1
CUST-0111,Ingrid Ventures,Enterprise,LATAM,Mexico,2025-01-19,One-Year,Credit Card,1,20,2901.24,59688.92,1,4,0
CUST-0112,Hassan Logistics,Enterprise,APAC,Singapore,2024-04-06,One-Year,Credit Card,1,29,1501.9,42392.17,0,5,0
CUST-0113,Zara Logistics,Mid-Market,APAC,Japan,2026-01-16,Two-Year,Credit Card,1,8,1055.2,8112.32,6,2,0
CUST-0114,Alexander Logistics,SMB,North America,United States,2025-01-25,Month-to-Month,Bank Wire,1,20,516.3,10352.94,0,4,0
CUST-0115,Yuki Enterprises,Mid-Market,EMEA,France,2024-06-26,Month-to-Month,Bank Wire,1,27,1057.77,29208.79,4,2,1
CUST-0116,William Dynamics,Enterprise,North America,United States,2024-05-15,Two-Year,Credit Card,1,28,1787.18,51103.92,1,5,0
CUST-0117,Olga Enterprises,SMB,APAC,Australia,2023-10-01,Month-to-Month,Credit Card,1,36,465.92,17128.97,3,5,0
CUST-0118,Mei Systems,Mid-Market,EMEA,Netherlands,2024-12-13,Month-to-Month,Credit Card,0,21,1342.19,28611.36,3,3,0
CUST-0119,Zara Dynamics,Mid-Market,EMEA,Germany,2025-05-18,Month-to-Month,Automated ACH,1,16,1387.77,22714.16,2,2,1
CUST-0120,Kavita Media,Mid-Market,North America,Canada,2025-10-18,One-Year,Credit Card,1,11,1093.13,11525.85,2,4,0
CUST-0121,Nathan Enterprises,SMB,APAC,Australia,2023-09-16,Month-to-Month,Automated ACH,1,36,432.67,15840.93,2,4,0
CUST-0122,Nathan Capital,Startup,APAC,South Korea,2024-05-07,Month-to-Month,Bank Wire,1,28,221.3,5950.78,1,3,0
CUST-0123,Rania Ventures,Mid-Market,North America,Canada,2025-06-21,Month-to-Month,Credit Card,1,15,1066.71,15646.34,4,5,1
CUST-0124,Hassan Media,SMB,APAC,Japan,2023-09-12,Two-Year,Bank Wire,1,36,392.88,14430.37,3,3,0
CUST-0125,Julian Capital,Startup,North America,United States,2025-07-06,One-Year,Bank Wire,1,14,232.55,3409.31,5,2,1
CUST-0126,Carlos Dynamics,Mid-Market,North America,Canada,2026-01-15,Month-to-Month,Credit Card,1,8,933.5,7518.48,2,4,0
CUST-0127,Carlos Technologies,SMB,North America,United States,2025-10-14,Month-to-Month,Credit Card,1,11,557.23,6076.93,3,3,1
CUST-0128,Gabriella Dynamics,Enterprise,North America,Canada,2023-12-11,One-Year,Credit Card,1,33,2400.88,75627.43,3,3,0
CUST-0129,Mei Systems,Mid-Market,North America,United States,2025-09-16,One-Year,Automated ACH,1,12,1182.81,13654.34,1,4,0
CUST-0130,Patrick Media,Mid-Market,North America,Canada,2024-10-20,One-Year,Automated ACH,1,23,1109.19,24419.68,2,3,0
CUST-0131,Yuki Technologies,Startup,North America,Canada,2024-09-17,One-Year,Credit Card,1,24,245.71,5848.5,2,4,0
CUST-0132,Dmitri Media,Enterprise,North America,Canada,2025-05-06,Month-to-Month,Credit Card,1,16,2276.86,36199.2,1,2,1
CUST-0133,Dmitri Ventures,Mid-Market,North America,Canada,2023-09-21,Two-Year,Credit Card,1,36,1172.69,43395.19,0,3,1
CUST-0134,Carlos Dynamics,Startup,EMEA,Germany,2025-02-13,Month-to-Month,Automated ACH,1,19,158.41,2903.75,2,3,0
CUST-0135,Dmitri Logistics,SMB,North America,United States,2025-01-31,One-Year,Bank Wire,0,19,540.87,10408.02,2,5,0
CUST-0136,Olga Systems,SMB,APAC,South Korea,2025-02-06,One-Year,Automated ACH,1,19,501.29,9973.09,1,4,0
CUST-0137,Kavita Logistics,Mid-Market,North America,Canada,2024-09-18,One-Year,Credit Card,1,24,852.2,19581.9,3,5,0
CUST-0138,Olga Solutions,SMB,North America,Canada,2024-02-28,One-Year,Automated ACH,1,31,508.53,15912.74,2,5,0
CUST-0139,Mei Solutions,Mid-Market,EMEA,United Kingdom,2024-05-05,One-Year,Bank Wire,1,28,1174.25,32883.5,1,3,0
CUST-0140,Beatrice Solutions,Startup,North America,Canada,2024-10-25,One-Year,Bank Wire,1,23,219.35,5013.65,3,4,0
CUST-0141,Olga Dynamics,Mid-Market,EMEA,Germany,2025-08-14,Month-to-Month,Automated ACH,1,13,1302.66,16176.53,2,3,1
CUST-0142,Vivienne Capital,SMB,North America,United States,2025-03-14,Month-to-Month,Credit Card,1,18,417.33,7817.18,1,5,0
CUST-0143,Evelyn Capital,Startup,North America,United States,2023-11-23,Two-Year,Credit Card,1,34,259.38,8902.74,0,2,0
CUST-0144,Carlos Health,SMB,EMEA,France,2025-10-31,One-Year,Automated ACH,0,10,427.23,4448.51,2,5,1
CUST-0145,Carlos Media,Mid-Market,EMEA,United Kingdom,2023-10-28,Two-Year,Bank Wire,1,35,1111.81,37714.84,5,3,1
CUST-0146,Evelyn Logistics,Mid-Market,North America,United States,2024-11-09,Two-Year,Automated ACH,1,22,1288.13,27876.27,4,3,0
CUST-0147,Zara Systems,Enterprise,North America,Canada,2025-06-19,Two-Year,Automated ACH,1,15,3374.14,48919.32,4,4,1
CUST-0148,Olga Technologies,Startup,North America,United States,2025-06-05,Month-to-Month,Credit Card,1,15,259.52,3906.04,2,5,1
CUST-0149,Julian Solutions,Mid-Market,APAC,Singapore,2023-11-14,Two-Year,Credit Card,1,34,790.76,26568.24,5,5,0
CUST-0150,Rania Media,SMB,LATAM,Brazil,2023-09-29,Two-Year,Bank Wire,1,36,561.79,19963.97,1,4,0
CUST-0151,Dmitri Dynamics,Enterprise,APAC,Australia,2025-04-20,Month-to-Month,Automated ACH,1,17,2137.93,36117.56,2,5,1
CUST-0152,Hassan Solutions,Mid-Market,APAC,Japan,2024-07-17,One-Year,Bank Wire,0,26,1082.8,27800.64,3,4,0
CUST-0153,Alexander Capital,SMB,LATAM,Chile,2024-05-05,Month-to-Month,Bank Wire,0,28,456.22,12738.97,3,3,1
CUST-0154,Evelyn Solutions,Startup,North America,United States,2025-09-22,Month-to-Month,Automated ACH,1,12,273.43,3355.72,0,5,0
CUST-0155,Rania Media,Mid-Market,North America,Canada,2023-09-30,Month-to-Month,Credit Card,1,36,1171.81,42004.24,2,5,0
CUST-0156,Dmitri Solutions,SMB,EMEA,United Kingdom,2024-12-08,Month-to-Month,Bank Wire,1,21,394.31,8375.58,0,4,0
CUST-0157,Hassan Systems,Mid-Market,North America,United States,2025-11-10,Month-to-Month,Credit Card,1,10,983.42,10314.43,3,4,0
CUST-0158,Siddharth Technologies,Enterprise,North America,Canada,2023-10-21,Two-Year,Bank Wire,1,35,2337.21,84162.51,3,3,0
CUST-0159,Liam Ventures,SMB,APAC,Japan,2024-03-08,One-Year,Bank Wire,1,30,472.4,13943.19,2,3,0
CUST-0160,Vivienne Logistics,Startup,APAC,South Korea,2025-01-10,One-Year,Automated ACH,1,20,340.15,6990.89,2,4,0
CUST-0161,Olga Technologies,SMB,North America,United States,2024-06-28,Month-to-Month,Bank Wire,1,27,361.74,10075.04,1,5,0
CUST-0162,Patrick Health,Mid-Market,North America,United States,2025-01-01,Month-to-Month,Credit Card,1,20,1165.09,23999.32,5,5,0
CUST-0163,Nathan Media,Mid-Market,APAC,South Korea,2024-04-25,One-Year,Credit Card,0,29,1355.37,39381.5,1,4,1
CUST-0164,Carlos Media,Mid-Market,North America,United States,2025-12-11,Month-to-Month,Bank Wire,1,9,814.87,7294.17,3,3,1
CUST-0165,Xavier Media,Mid-Market,North America,Canada,2025-07-23,One-Year,Automated ACH,1,14,1315.75,18300.66,3,5,0
CUST-0166,Vivienne Technologies,Mid-Market,North America,Canada,2026-01-25,One-Year,Bank Wire,1,7,774.21,5608.43,6,5,1
CUST-0167,William Solutions,Mid-Market,North America,United States,2024-08-08,Month-to-Month,Bank Wire,1,25,950.72,24017.79,2,4,1
CUST-0168,William Solutions,Mid-Market,LATAM,Mexico,2024-10-25,One-Year,Credit Card,1,23,1375.62,32112.46,3,4,0
CUST-0169,Hassan Enterprises,Mid-Market,North America,United States,2025-02-12,Two-Year,Bank Wire,1,19,1465.63,28415.15,0,4,0
CUST-0170,Gabriella Systems,Mid-Market,North America,Canada,2023-09-29,Two-Year,Credit Card,0,36,1085.12,38849.9,0,4,0
CUST-0171,Carlos Capital,Mid-Market,EMEA,United Kingdom,2024-10-18,Two-Year,Automated ACH,1,23,1043.78,25032.82,2,4,0
CUST-0172,Vivienne Logistics,Enterprise,APAC,Singapore,2025-04-19,One-Year,Bank Wire,1,17,2497.54,41867.57,3,3,0
CUST-0173,Tara Capital,SMB,EMEA,Germany,2024-08-26,Month-to-Month,Bank Wire,1,25,353.8,8826.13,3,4,1
CUST-0174,Nathan Media,Enterprise,APAC,Japan,2023-09-23,One-Year,Credit Card,1,36,2842.87,100752.03,1,4,0
CUST-0175,Zara Dynamics,SMB,EMEA,Germany,2023-09-29,Month-to-Month,Automated ACH,1,36,384.9,13335.62,4,5,1
CUST-0176,Evelyn Health,Startup,North America,Canada,2024-04-23,Month-to-Month,Automated ACH,0,29,323.28,9699.44,0,3,1
CUST-0177,Ingrid Ventures,Enterprise,EMEA,France,2025-11-12,One-Year,Bank Wire,1,10,2213.5,22338.22,0,3,0
CUST-0178,Tara Logistics,SMB,North America,Canada,2024-09-09,Month-to-Month,Automated ACH,1,24,323.97,8124.04,3,4,0
CUST-0179,Zara Systems,SMB,North America,United States,2023-09-20,One-Year,Bank Wire,0,36,457.81,16556.28,3,3,0
CUST-0180,Vivienne Health,Mid-Market,EMEA,Netherlands,2025-02-22,One-Year,Bank Wire,1,19,921.03,17437.35,4,3,0
CUST-0181,Kavita Systems,SMB,North America,Canada,2025-04-14,Two-Year,Bank Wire,1,17,548.26,9377.88,2,4,0
CUST-0182,Kavita Ventures,Mid-Market,EMEA,France,2024-10-23,Month-to-Month,Bank Wire,1,23,1069.81,24889.52,1,3,1
CUST-0183,Hassan Logistics,Enterprise,APAC,Australia,2025-10-17,One-Year,Credit Card,1,11,2234.53,24109.23,2,5,0
CUST-0184,Alexander Enterprises,Mid-Market,LATAM,Chile,2023-11-25,Month-to-Month,Bank Wire,1,34,1106.19,37591.26,4,3,0
CUST-0185,Vivienne Solutions,SMB,North America,United States,2023-09-20,Month-to-Month,Bank Wire,1,36,496.04,17684.68,1,4,0
CUST-0186,Beatrice Media,Mid-Market,North America,United States,2024-04-21,Month-to-Month,Credit Card,1,29,922.1,26151.85,3,5,0
CUST-0187,Umar Systems,Mid-Market,North America,United States,2025-03-31,Two-Year,Credit Card,1,17,599.91,9835.68,1,4,1
CUST-0188,Umar Dynamics,Enterprise,North America,United States,2024-11-22,One-Year,Automated ACH,1,22,2409.76,51153.59,2,3,0
CUST-0189,Rania Logistics,Enterprise,North America,Canada,2025-02-05,One-Year,Bank Wire,1,19,2806.18,55067.77,1,5,0
CUST-0190,Siddharth Solutions,Mid-Market,EMEA,France,2025-08-23,Month-to-Month,Credit Card,0,13,1087.59,14257.01,0,3,1
CUST-0191,Yuki Technologies,Startup,EMEA,France,2025-04-30,Two-Year,Credit Card,1,16,263.61,4028.53,0,3,0
CUST-0192,Patrick Logistics,Enterprise,EMEA,Netherlands,2026-02-28,Month-to-Month,Credit Card,1,6,2561.32,14892.72,2,4,1
CUST-0193,Olga Capital,SMB,North America,Canada,2023-09-20,One-Year,Credit Card,1,36,547.83,20408.94,2,3,0
CUST-0194,Yuki Technologies,SMB,EMEA,Germany,2025-05-04,Month-to-Month,Bank Wire,0,16,448.77,7151.36,1,2,1
CUST-0195,Siddharth Capital,SMB,EMEA,France,2024-10-21,Two-Year,Bank Wire,1,23,448.76,10777.16,0,4,0
CUST-0196,Julian Health,Mid-Market,EMEA,Netherlands,2023-09-22,One-Year,Automated ACH,1,36,1068.61,37653.59,1,5,0
CUST-0197,Tara Dynamics,SMB,North America,Canada,2025-09-28,One-Year,Bank Wire,1,11,379.14,4259.85,6,2,1
CUST-0198,Liam Solutions,Mid-Market,EMEA,Netherlands,2025-01-08,Month-to-Month,Credit Card,1,20,1282.43,24646.32,4,3,1
CUST-0199,Yuki Systems,SMB,North America,United States,2024-11-10,Month-to-Month,Bank Wire,1,22,431.45,9330.82,0,4,0
CUST-0200,Patrick Enterprises,Enterprise,EMEA,Germany,2025-09-05,Two-Year,Bank Wire,1,12,2714.33,33811.8,3,5,0
CUST-0201,Patrick Solutions,Mid-Market,EMEA,France,2024-01-11,Month-to-Month,Automated ACH,1,32,1297.22,40399.46,2,3,1
